Rapnet Lot #,Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,BuyNow $/ct,BuyNow rap%,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Sarine Loupe,Report File Name,Report 2 File name,Website Link,Image 1,Image 2,Image 3,Image 4,Image 5,VideoURL 1,VideoURL 2,VideoURL 3,VideoURL 4,VideoURL 5,Document 1,Document 2,Document 3,Document 1 Type,Document 2 Type,Document 3 Type,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones,Tracr ID,Display Cert Number
169031852,3199,G,Round,0.39,E,SI2,EX,EX,EX,N,,4.69-4.72x2.91,Yes,GIA,1519780340,,,765,-0.49,,,,,61.9,57,M,STK,3.5,Faceted,N,,14,33.5,44.5,41.6,GIA 1519780340,,Feather,NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,None,None,None,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-1519780340,,,,,,,,,,,,04-03-2025 00:00,Diamond Dossier,,,FALSE,0,,,1
164598477,2894,G,Round,0.5,K,I1,EX,EX,EX,N,,5.08-5.10x3.12,Yes,GIA,2507533932,,,470,-0.53,,,,,61.3,60,M,STK,3.5,Faceted,N,Pointed,14.5,35.5,43,40.8,GIA 2507533932,,Feather,NO BGM  /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,,,,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-2507533932,,,,,,,,,,,,10-03-2024 00:00,Diamond Dossier,,,FALSE,1,,,1
170683441,3368,G,Round,0.55,E,SI1,EX,EX,EX,M,B,5.25-5.26x3.27,Yes,GIA,2528187878,,,1056,-0.52,,,,,62.1,56,M,M,3,Faceted,N,,15.5,35.5,43,41,GIA 2528187878,,Feather,NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,,,,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-2528187878,,,,,,,,,,,,05/21/2025 00:00:00,Diamond Dossier,,,TRUE,1,,,1
161208286,2453,G,Round,0.35,D,SI2,EX,VG,EX,S,B,4.49-4.52x2.82,Yes,GIA,2497528196,,,640,-0.6,,,,,62.6,57,M,STK,3.5,Faceted,N,Pointed,15.5,35.5,43.5,41,GIA 2497528196,,"Crystal,  Cloud",NO BGM SIDE BLACK / SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,,None,,None,,,,India,,,,,,,,,161208286_Still.JPG,,,,,,,,,,,,,,,,,05/31/2024 00:00:00,Diamond Dossier,,,TRUE,0,,,1
169031829,3202,G,Round,0.4,D,SI1,EX,EX,EX,M,B,4.71-4.73x2.90,Yes,GIA,2514781470,,,860,-0.57,,,,,61.5,57,M,STK,4,Faceted,N,,15,35,42.5,40.6,GIA 2514781470,,"Crystal,  Feather",NO BGM PP BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,None,,None,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-2514781470,,,,,,,,,,,,04-03-2025 00:00,Diamond Dossier,,,TRUE,0,,,1
169031806,3168,G,Round,0.32,F,VVS1,EX,EX,EX,M,B,4.36-4.37x2.73,Yes,GIA,2514780177,,,901,-0.571,,,,,62.5,57,M,STK,4,Faceted,N,,15,34.5,43.5,41.4,GIA 2514780177,,"Pinpoint,  Feather",NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,None,None,None,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-2514780177,,,,,,,,,,,,04-03-2025 00:00,Diamond Dossier,,,TRUE,0,,,1
170683401,3360,G,Round,0.5,H,VS2,EX,EX,EX,N,,5.09-5.13x3.14,Yes,GIA,6522192273,,,1134,-0.46,,,,,61.4,57,M,STK,4,Faceted,N,,14,33,44,41.4,GIA 6522192273,,"Cloud,  Crystal",NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,,,,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-6522192273,,,,,,,,,,,,05/21/2025 00:00:00,Diamond Dossier,,,TRUE,1,,,1
170910130,AK-2007,G,Round,0.86,D,SI1,EX,EX,EX,M,B,6.01-6.06x3.78,Yes,GIA,6522130882,,,1736,-0.44,,,,,62.7,58,M,STK,4,Faceted,N,,15,35,44,41.4,GIA 6522130882,,"Crystal,  Cloud",NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,None,None,None,None,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,05/13/2025 00:00:00,Diamond Dossier,,,TRUE,1,,,1
169031846,3144,G,Round,0.3,G,VVS1,EX,EX,EX,M,B,4.25-4.29x2.68,Yes,GIA,5516780205,,,774,-0.57,,,,,62.7,56,M,STK,3.5,Faceted,N,,16,36.5,43,40.8,GIA 5516780205,,Feather,NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,None,None,None,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-5516780205,,,,,,,,,,,,04-03-2025 00:00,Diamond Dossier,,,TRUE,0,,,1
170683355,3280,G,Round,0.31,H,VS2,EX,EX,EX,N,,4.34-4.35x2.70,Yes,GIA,7526288262,,,882,-0.37,,,,,62,56,M,STK,3.5,Faceted,N,,15,34,43.5,41.4,GIA 7526288262,,"Cloud,  Feather",NO BGM NO BLACK /  SKYPE : sanghaviharshil927 WECHAT : harshilsanghavi  WHATSAPP/CALL : +91 9408960540,50,None,,,,None,,,,India,,,,,,,,,,,,,,https://nivoda-inhousemedia.s3.amazonaws.com/inhouse-360-7526288262,,,,,,,,,,,,05/29/2025 00:00:00,Diamond Dossier,,,TRUE,1,,,1
